# package|floor|target
github.com/nmxmxh/ovasabi_foundation/config-contracts/go/runtimeconfig|98.1|95.0
github.com/nmxmxh/ovasabi_foundation/runtime-sdk/go/runtimehost|86.5|95.0
github.com/nmxmxh/ovasabi_foundation/runtime-transport/go/transport|54.8|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/apidocs|71.4|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/auth|91.7|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/bootstrap|80.4|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/bulk|95.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/cache|91.3|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/chain|82.4|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/chaos|100.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/circuitbreaker|94.4|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/compress|85.1|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/connector|77.8|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/connector/graphqlx|0.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/connector/grpcx|0.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/connector/httpx|0.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/connector/wsx|0.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/contracttest|76.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/database|51.9|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/degradation|93.7|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/domainerr|94.4|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/errors|93.7|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/eventlog|62.7|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/events|76.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/extension|96.6|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/featureflags|94.2|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/graceful|81.4|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/grpcsvc|88.7|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/healthcheck|88.8|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/hermes|69.2|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/httpapi|83.8|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/intelligence|82.2|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/kernellane|87.7|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/logger|81.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/metadata|89.7|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/metrics|88.5|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/money|96.3|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/objectstore|74.6|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/observability|88.5|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/policy|78.2|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/profiling|94.1|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/protoapi|95.4|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/protoapi/testprotos|97.1|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/redis|41.4|service
github.com/nmxmxh/ovasabi_foundation/server-kit/go/registry|85.2|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/resilience|87.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/retry|86.6|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/scaling|100.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/security|89.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/slo|100.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/startup|92.0|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/tracing|84.3|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/versioning|93.2|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/worker|72.7|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/wsmetrics|95.1|95.0
github.com/nmxmxh/ovasabi_foundation/server-kit/go/wsrouting|82.2|95.0
